name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Trafford,GKP,Man City,0.0,0,0,0,0,0.0,182,0.0,0.0,0.0,0.0,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,5,0,0,0,0,7,0,1.3,0,0.0,0,-2014,97,2111,4.7,False,0,7
Weiss,GKP,Burnley,0.0,0,0,0,0,0.0,183,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.1,0,0.0,0,-76,48,124,4.4,False,0,7
Green,GKP,Burnley,0.0,0,0,0,0,0.0,184,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.3,0,0.0,0,-304,0,304,4.0,False,0,7
Hladký,GKP,Burnley,0.0,0,0,0,0,0.0,185,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.2,0,0.0,0,-114,52,166,4.0,False,0,7
Roberts,DEF,Burnley,0.0,0,0,0,0,0.0,186,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.0,0,0.0,0,-36,2,38,4.4,False,0,7
Walker,DEF,Burnley,0.0,0,0,-3,0,2.7,187,0.0,0.0,0.0,0.0,62,2,0,2.0,10.6,2025-10-05T13:00:00Z,90,2,0,0,0,0,7,0,1.5,1,7.0,1,2217,2980,763,4.4,False,0,7
Delcroix,DEF,Burnley,0.0,0,0,0,0,0.0,188,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.3,0,0.0,0,-247,69,316,3.9,False,0,7
Dodgson,DEF,Burnley,0.0,0,0,0,0,0.0,189,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.0,0,0.0,0,-15,0,15,4.0,False,0,7
Ekdal,DEF,Burnley,0.0,0,0,0,0,0.0,190,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,1.4,0,0.0,0,-4173,155,4328,4.0,False,0,7
Estève,DEF,Burnley,0.0,0,0,7,0,1.4,191,0.0,0.0,0.0,0.0,62,2,0,1.7,13.2,2025-10-05T13:00:00Z,90,2,0,0,0,0,7,0,13.1,1,2.0,1,-2333,4490,6823,4.0,False,0,7
Hartman,DEF,Burnley,0.0,1,0,12,0,32.8,192,0.0,0.0,0.0,0.0,62,2,0,5.6,21.6,2025-10-05T13:00:00Z,90,2,0,0,0,0,7,0,0.6,1,2.0,4,1253,1766,513,4.0,False,0,7
Humphreys,DEF,Burnley,0.0,0,0,0,0,0.0,193,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.1,0,0.0,0,-42,41,83,4.0,False,0,7
Jordan,DEF,Burnley,0.0,0,0,0,0,0.0,194,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.1,0,0.0,0,-78,6,84,4.0,False,0,7
Lucas Pires,DEF,Burnley,0.0,0,0,0,0,0.0,195,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.2,0,0.0,0,-157,40,197,3.9,False,0,7
Sambo,DEF,Burnley,0.0,0,0,0,0,0.0,196,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.1,0,0.0,0,-33,0,33,4.0,False,0,7
Sonne,DEF,Burnley,0.0,0,0,0,0,0.0,197,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,2,0,0,0,0,7,0,0.1,0,0.0,0,-68,80,148,3.9,False,0,7
Tuanzebe,DEF,Burnley,0.0,0,0,6,0,0.9,198,0.0,0.0,0.0,0.0,62,2,0,1.9,17.6,2025-10-05T13:00:00Z,90,2,0,0,0,0,7,0,1.8,1,0.0,1,520,1631,1111,3.9,False,0,7
